ID	sample
PADI2:GJA8	TCGA-CD-A48C-01A
PADI2:NBPF11	TCGA-CD-A48C-01A
PADI2:TMOD4	TCGA-CD-A48C-01A
PADI2:LCE1F	TCGA-CD-A48C-01A
PADI2:SHC1	TCGA-CD-A48C-01A
PADI2:CD1C	TCGA-CD-A48C-01A
PADI2:KCNT2	TCGA-CD-A48C-01A
PADI2:ESRRG	TCGA-CD-A48C-01A
PADI2:OR11L1	TCGA-CD-A48C-01A
PADI2:OR2AK2	TCGA-CD-A48C-01A
PADI2:OR2T1	TCGA-CD-A48C-01A
PADI2:TPO	TCGA-CD-A48C-01A
PADI2:CDKL4	TCGA-CD-A48C-01A
PADI2:LRPPRC	TCGA-CD-A48C-01A
PADI2:NRXN1	TCGA-CD-A48C-01A
PADI2:ZNF2	TCGA-CD-A48C-01A
PADI2:CNTNAP5	TCGA-CD-A48C-01A
PADI2:GYPC	TCGA-CD-A48C-01A
PADI2:LRP1B	TCGA-CD-A48C-01A
PADI2:MBD5	TCGA-CD-A48C-01A
PADI2:FAP	TCGA-CD-A48C-01A
PADI2:SCN2A	TCGA-CD-A48C-01A
PADI2:TTN	TCGA-CD-A48C-01A
PADI2:ZNF804A	TCGA-CD-A48C-01A
PADI2:DNAH7	TCGA-CD-A48C-01A
PADI2:CAPN10	TCGA-CD-A48C-01A
PADI2:FGD5	TCGA-CD-A48C-01A
PADI2:KAT2B	TCGA-CD-A48C-01A
PADI2:ZNF385D	TCGA-CD-A48C-01A
PADI2:ARPP21	TCGA-CD-A48C-01A
PADI2:TRAK1	TCGA-CD-A48C-01A
PADI2:EPHA3	TCGA-CD-A48C-01A
PADI2:EPHA6	TCGA-CD-A48C-01A
PADI2:IMPG2	TCGA-CD-A48C-01A
PADI2:EPHB1	TCGA-CD-A48C-01A
PADI2:TRPC1	TCGA-CD-A48C-01A
PADI2:U2SURP	TCGA-CD-A48C-01A
PADI2:P2RY13	TCGA-CD-A48C-01A
PADI2:BCHE	TCGA-CD-A48C-01A
PADI2:MECOM	TCGA-CD-A48C-01A
PADI2:STK32B	TCGA-CD-A48C-01A
PADI2:SEL1L3	TCGA-CD-A48C-01A
PADI2:LIMCH1	TCGA-CD-A48C-01A
PADI2:UGT2B10	TCGA-CD-A48C-01A
PADI2:SHROOM3	TCGA-CD-A48C-01A
PADI2:PDHA2	TCGA-CD-A48C-01A
PADI2:ANK2	TCGA-CD-A48C-01A
PADI2:PCDH18	TCGA-CD-A48C-01A
PADI2:TRIML2	TCGA-CD-A48C-01A
PADI2:6-Mar	TCGA-CD-A48C-01A
PADI2:DNAH5	TCGA-CD-A48C-01A
PADI2:PARP8	TCGA-CD-A48C-01A
PADI2:MAP1B	TCGA-CD-A48C-01A
PADI2:ADAMTS19	TCGA-CD-A48C-01A
PADI2:RREB1	TCGA-CD-A48C-01A
PADI2:COL11A2	TCGA-CD-A48C-01A
PADI2:DAAM2	TCGA-CD-A48C-01A
PADI2:KHDRBS2	TCGA-CD-A48C-01A
PADI2:COL12A1	TCGA-CD-A48C-01A
PADI2:ARHGAP18	TCGA-CD-A48C-01A
PADI2:AKAP12	TCGA-CD-A48C-01A
PADI2:BRAT1	TCGA-CD-A48C-01A
PADI2:HECW1	TCGA-CD-A48C-01A
PADI2:GTF2IRD2	TCGA-CD-A48C-01A
PADI2:ABCB4	TCGA-CD-A48C-01A
PADI2:TRRAP	TCGA-CD-A48C-01A
PADI2:RASA4	TCGA-CD-A48C-01A
PADI2:NUP205	TCGA-CD-A48C-01A
PADI2:CSMD1	TCGA-CD-A48C-01A
PADI2:PENK	TCGA-CD-A48C-01A
PADI2:ZFHX4	TCGA-CD-A48C-01A
PADI2:CNBD1	TCGA-CD-A48C-01A
PADI2:NBN	TCGA-CD-A48C-01A
PADI2:CSMD3	TCGA-CD-A48C-01A
PADI2:MED30	TCGA-CD-A48C-01A
PADI2:MYC	TCGA-CD-A48C-01A
PADI2:BNC2	TCGA-CD-A48C-01A
PADI2:ASTN2	TCGA-CD-A48C-01A
PADI2:SETX	TCGA-CD-A48C-01A
PADI2:CUBN	TCGA-CD-A48C-01A
PADI2:RET	TCGA-CD-A48C-01A
PADI2:PCDH15	TCGA-CD-A48C-01A
PADI2:HERC4	TCGA-CD-A48C-01A
PADI2:POLR3A	TCGA-CD-A48C-01A
PADI2:GRID1	TCGA-CD-A48C-01A
PADI2:CPXM2	TCGA-CD-A48C-01A
PADI2:OR52N1	TCGA-CD-A48C-01A
PADI2:ZNF215	TCGA-CD-A48C-01A
PADI2:OR4C11	TCGA-CD-A48C-01A
PADI2:C2CD3	TCGA-CD-A48C-01A
PADI2:PDGFD	TCGA-CD-A48C-01A
ZBTB40:ZBTB40	TCGA-CD-A48C-01A
