	P3	P5	P7	P11	P13	P14	P16	P17	P19	P22	P24	P27	P30	P34	P39	P43	P52	P53	1148190	1160611	1165043	1165731	1175987	1205142	1232209	1232597	1247392	1258650	1261934	1273598	P2	P4	P9	P15	P18	P20	P21	P23	P25	P26	P33	P40	P45	P50	1161524	1185692	1243837	1313158	1337883	1338283	1398479	1406645	1432057	963764	P1	P12	P35	P37	P41	1161135	1391882	1397993	P36	P42	P51	1293013	1411462	rd_P4_T1	rd_P5_T1	rd_P7_T1	rd_P9_T1	rd_P10_T1	rd_P11_T1	rd_P1_T1	rd_P2_T1	rd_P3_T1	rd_P6_T1	rd_P8_T1	rd_P12_T1	rd_P13_T1	rd_P14_T1	F4	F8	F9	F81	F89_342952	F92_340410	F172	F177
BRAF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2328	0	10.1978	0	0	0	0	10.623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2222	0	0	0	10.225	0	0	0	0	10.1495	0	0	0	0	10.2698	0	0	0	0	0	0	0	0	0	0	10.2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD4	0	0	0	40.2349	0	0	0	0	0	0	10.1725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1562	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	10.3137	0	10.3937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2101	0	0	0	0	0	0	0	0	0	0
ZFHX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0678	0	0	0	0	0	20.0347	0	0	20.0347	0	0	0	10.4156	0	0	0	0	20.016	0	20.0252	0	20.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5082	0	20.0245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCLO	0	0	0	0	0	10.0502	0	0	0	0	0	0	0	0	0	10.0797	0	0	10.0854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1713	0	0	0	0	0	0	0	0	0	10.2245	0	0	0	0	0	0	0	10.1684	0	0	0	0	0	10.0909	0	0	0	0	10.0455	0	10.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0	0	0	0	0
SVEP1	0	0	0	10.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1765	0	0	0	0	0	10.2857	0	0	0	0	0	0	0	10.1628	40.0543	0	0	0	0	0	0	0	0	0	0	0	40.0892	10.381	10.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRNR	10.0803	0	0	0	0	0	0	10.0109	0	10.2295	0	40.0152	10.0102	0	0	0	210.039	0	10.0769	0	110.07	110.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.013	0	10.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF208	0	0	0	0	0	0	0	10.0182	0	10.009	0	0	0	0	10.0136	0	0	0	0	0	0	110.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0191	0	0	0	0	0	0	0	0	0	40.0113	0	0	0	10.0167	10.0414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXDNL	0	0	10.0486	10.2977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.05	0	0	10.2628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.042	0	10.0857	0	0	0	0	0	0	0	0	0	0	0	40.3333	0	0	10.1304	10.1155	0	0	0	0	0	0	0	0	0	0	0	0	40.1	0	0
AHNAK	0	0	0	0	0	10.0576	0	0	0	0	0	0	0	0	0	0	0	40.0473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0413	0	0	0	40.0365	10.0112	0	0	0	10.0163	0	10.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132C	0	0	0	0	0	0	0	10.2857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1279	0	0	0	0	0	10.2807	0	0	0	0	0	0	0	0	10.3279	0	10.6091	10.2787	0	0	0	0	0	0	0	10.0984	0	0	0	10.1633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO18B	0	0	0	0	0	0	0	0	0	0	10.3	10.1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7097	0	0	0	0	0	0	0	0	0	0	0	10.2846	0	0	0	0	0	0	0	0	0	10.1429	0	0	0	0	0	0	0	0	0	40.2143	0	0	0	0	0	0	10.1548	0	0	0	0	0	10.2212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDZD2	0	0	0	0	0	0	0	0	0	0	0	0	10.1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.168	0	0	0	0	0	0	40.1579	0	0	0	0	0	0	0	0	0	10.0547	0	0	10.0316	0	0	0	0	0	0	0	0	0	0	0	0	10.2338	0	0	10.0305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TENM3	0	0	0	0	0	0	0	0	0	0	0	40.0857	0	0	0	0	0	10.2045	0	10.1757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3684	0	10.0738	0	0	0	0	0	0	0	0	0	0	0	10.1287	10.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIOBP	0	0	0	0	0	0	0	10.0198	0	0	0	0	0	0	0	0	0	0	0	0	110.025	10.0234	0	0	0	0	0	0	0	0	0	0	0	10.0136	0	0	10.1471	0	10.0226	0	0	10.4015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEB	0	0	0	0	0	0	0	0	0	10.2321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.125	10.1678	0	0	0	0	10.3895	0	10.2414	0	0	0	0	0	0	0	0	0	0	0	0	0	40.1353	0	0	0	0	0	0	10.1469	0	0	0	0	0	0	0	0	0	0	0	0	10.1224	0	0	0	0	0	0	0	0	0	0	0
MMP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5326	10.0903	0	0	10.1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2105	0	0	0	0	0	0	0	0	0	0	0	10.083	0	10.1068	0	0	0	0	0	0	0	0	0	0	0	0	40.2189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0	0
LIFR	0	0	0	0	0	0	0	30.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.0909	0	0	0	0	0	10.0711	0	0	0	0	0	0	10.3404	0	0	0	0	0	0	0	10.1186	0	10.4444	0	0	0	10.1379	0	0	0	0	0	0	0	0	0	0	10.1594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS13C	0	0	0	40.0337	0	0	0	0	0	0	0	0	0	0	0	40.063	0	0	0	0	0	0	0	0	0	40.3211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.0729	40.0365	0	0	0	0	0	0	0	0	0	0	0	40.0382	0	0	10.0986	0	0	0	0	0	0	0	0	0	0	0	0	0	40.3846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
